tabla,columna,descripcion,rol_analitico,origen,grano,riesgo_leakage,observaciones
dataset_analitico_interno,cuadro_origen,"Identificador del cuadro del anuario del que sale la fila (por ejemplo 9.1.1). Con la página, permite verificar la cifra a mano contra el PDF.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,pagina_pdf,"Página del PDF, contada desde 1, donde está impresa la fila. No coincide con el número impreso al pie en todos los capítulos.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,firma,"Firma de encabezado del cuadro: identifica el LAYOUT, es decir el juego de columnas con el que se leyó la página. Es la clave de src/procesos.py. Se usa la firma y no el número de cuadro porque el anuario numera mal: hay dos cuadros distintos numerados 5.3.3.1 y un 6.3.1.4 en medio del capítulo 5.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,familia,"Familia temática del cuadro dentro de los capítulos 5 y 6: causas, resueltas, apelacion, ejecucion u otros.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,ambito,"Territorio que cubre el cuadro: capital (ciudades capitales y El Alto), provincia (resto del país) o nacional (la suma de ambos). En los capítulos 5 y 6 se deriva del encabezado y de las entidades de la página, no del prefijo del cuadro.",geografia,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,titulo_pagina,"Encabezado corrido de la página, literal del PDF ('Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto'). Es de donde sale la materia.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,entidad,"Ciudad capital o distrito judicial al que pertenece la fila, tal como encabeza su bloque en la página. El ámbito sale del encabezado y las entidades, no de la numeración del cuadro, porque el 6.3.1.4 de las páginas 357-359 es de capitales. TOTAL NACIONAL aparece en la página de cierre de cada cuadro.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,num_juzgados_pagina,"Número de juzgados o tribunales que declara la línea de cabecera de la página ('SUCRE 14'). Vale para la ciudad entera y para el cuadro entero, NO por fila ni por tipo de proceso: el anuario no desagrega por juzgado en ninguna parte. No siempre coincide con el num_juzgados del cuadro 9.1.x; las diferencias están en auditoria/discrepancias.csv.",no_usar_como_predictor,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,Conteo nominal/de página; no sustituye un número físico auditado de juzgados.
dataset_analitico_interno,unidad_fila,"Qué representa la fila: 'tipo_proceso' en los cuadros que desagregan por tipo de proceso dentro de cada ciudad, y 'entidad' en los cuadros de una sola página que traen una fila por ciudad y no abren el tipo de proceso.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,grupo_proceso,"Etiqueta del grupo al que pertenece la fila, verbatim. Viene impresa EN VERTICAL en el margen izquierdo del cuadro y llega con el corte de palabra del PDF ('EXTRAORDI NARIO'), que no se puede deshacer desde la geometría.",proceso,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,tipo_proceso_extraido,Literal obtenido originalmente por la extracción geométrica del PDF antes de aplicar las correcciones deterministas auditadas. Se conserva exclusivamente para trazabilidad.,proceso,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,tipo_proceso,Literal de la fila fuente reconstruido a partir del PDF. Las correcciones reparan únicamente defectos de extracción auditados; no corrigen errores editoriales ni realizan homologación semántica. Nulo cuando unidad_fila es 'entidad'.,proceso,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,tipo_fila_derivado,"Si la fila es un dato o un agregado: dato, total o subtotal. Permite excluir los agregados de las sumas sin adivinar sobre el texto del rótulo.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,orden_fila,"Posición de la fila dentro de su página, contada desde 1. Conserva el orden impreso, que agrupa los tipos de proceso.",trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,n_columnas,Cuántas columnas numéricas tiene el cuadro del que sale la fila. Varía entre 5 y 19 según el departamento.,trazabilidad,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,
dataset_analitico_interno,readecuadas_ley_439,"Causas readecuadas a la Ley 439 (Código Procesal Civil): el arrastre de causas del código anterior. En los cuadros civiles ocupa el lugar que en el cuadro 9.1.x lleva pendientes_inicio, y cruza con él exactamente.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,recibidas_excusa_recusacion,"Causas recibidas de otro juzgado por excusa o recusación del juez original. Es un traslado, no un ingreso nuevo.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,preliminares_formalizados,Procesos preliminares que se formalizaron en demanda durante la gestión.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,cautelares_formalizados,Procesos cautelares que se formalizaron en demanda durante la gestión.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,nuevas_ingresadas,Causas nuevas ingresadas en la gestión. Es el ingreso genuino; las otras formas de ingreso son arrastres o traslados.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,atendidas,"Total de causas atendidas en la gestión. Es un stock, no un flujo: debe ser igual a pendientes_inicio + ingresadas y también a resueltas + pendientes_fin.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,resueltas,Causas resueltas durante la gestión.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,pendientes_fin,Causas que quedan pendientes para la próxima gestión.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,pendientes_inicio,Causas que venían pendientes de la gestión anterior.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,conciliacion,"Causas concluidas por conciliación, una de las salidas alternativas del procedimiento penal.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,num_juzgados,"Número NOMINAL de juzgados, no real: un juzgado mixto cuenta una vez por cada materia que atiende, así que el total nominal es mayor que la cantidad física de juzgados. No usar como conteo de juzgados existentes.",no_usar_como_predictor,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,False,Conteo nominal/de página; no sustituye un número físico auditado de juzgados.
dataset_analitico_interno,recibidas_otros_juzgados,"Causas recibidas de otros juzgados por excusa, recusa, declinatoria o acumulación, en los cuadros penales.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,concluidas_rechazo_denuncia,Causas concluidas por rechazo de la denuncia.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,reparacion_dano_conciliacion,"Causas concluidas por reparación del daño o conciliación, cuando el cuadro no las separa.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,remision_art_299_ley_548,"Causas remitidas según el artículo 299 de la Ley 548 (Código Niña, Niño y Adolescente).",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,merecieron_imputacion_formal,Causas que pasaron de la investigación preliminar a la imputación formal. Salen de este cuadro y entran al siguiente.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,remitidas_finalizacion_competencia,Causas remitidas a otros juzgados por finalización de competencia.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,procesos_rebeldia,"Procesos con declaración de rebeldía. Es una anotación al margen del balance: NO entra en atendidas = salidas + pendientes, y no se debe sumar con las formas de salida.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,reparacion_dano,"Causas concluidas por reparación del daño, salida alternativa del procedimiento penal.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,sobreseimiento,Causas concluidas por sobreseimiento.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,terminacion_anticipada,Causas concluidas por terminación anticipada del proceso.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,merecieron_acusacion,Causas que pasaron de la imputación formal a la acusación.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,concluidas_extincion_prescripcion,Causas concluidas por extinción o prescripción de la acción.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,concluidas_sentencia_juicio,Causas concluidas con sentencia en juicio.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,remitidas_otros_juzgados,"Causas remitidas a otros juzgados por excusa, recusa, declinatoria o inhibitoria.",resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
dataset_analitico_interno,concluidas_otras_formas,Causas concluidas por formas que el cuadro no detalla.,resultado,causas_por_tipo_proceso,ámbito × territorio × materia homologada × literal de proceso × etapa fuente × contexto penal,True,Resultado o componente del resultado: no usar como predictor del mismo outcome.
