cuadro_origen,pagina_pdf,fila_orden,fila_id,literal_original,rotulo_canonico,codigo_canonico,tipo_entidad,estructura,fila_padre_id,nivel_jerarquia,indentada,decision,confianza,evidencia,observaciones
4.1.1,109,1,f001,JUZGADOS DE INSTRUCCIÓN,Juzgados de Instrucción,juzgados_instruccion,juzgado,subtotal,f037,1,no,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo en negrita; posición de cabecera y suma exacta de sus hijos en las diez ciudades y TOTAL.",Contiene f002–f005. No sumar el subtotal con sus hijos.
4.1.1,109,2,f002,Penal,Juzgado de Instrucción Penal,juzgado_instruccion_penal,juzgado,detalle,f001,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.","Nota 3: tres juzgados de Santa Cruz también tienen competencia en Violencia Contra la Mujer y Anticorrupción; no representan unidades adicionales."
4.1.1,109,3,f003,Anticorrupción y Contra la Violencia hacia las mujeres,Juzgado de Instrucción Anticorrupción y Contra la Violencia hacia las Mujeres,juzgado_instruccion_anticorrupcion_violencia_mujeres,juzgado,detalle,f001,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.","Es una categoría combinada con magnitud propia, no un subtotal de f004 y f005."
4.1.1,109,4,f004,Contra la Violencia hacia las mujeres,Juzgado de Instrucción Contra la Violencia hacia las Mujeres,juzgado_instruccion_violencia_mujeres,juzgado,detalle,f001,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,5,f005,Anticorrupción,Juzgado de Instrucción Anticorrupción,juzgado_instruccion_anticorrupcion,juzgado,detalle,f001,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,6,f006,JUZGADOS DE PARTIDO Y TRIBUNALES,Juzgados de Partido y Tribunales,juzgados_partido_tribunales,otro,subtotal,f037,1,no,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo en negrita; posición de cabecera y suma exacta de sus hijos en las diez ciudades y TOTAL.","Subtotal mixto: contiene juzgados y tribunales, f007–f020. No sumar con sus hijos."
4.1.1,109,7,f007,Trabajo y Seguridad Social,Juzgado de Partido del Trabajo y Seguridad Social,juzgado_partido_trabajo_seguridad_social,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",
4.1.1,109,8,f008,Adm. Coactivo Fiscal Tributario,Juzgado de Partido Adm. Coactivo Fiscal Tributario,juzgado_partido_adm_coactivo_fiscal_tributario,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",Se conserva «Adm.»; no se fuerza una expansión en esta auditoría.
4.1.1,109,9,f009,Trabajo y Seguridad Social y Adm. Coactivo Fiscal y Tributario,Juzgado de Partido del Trabajo y Seguridad Social y Adm. Coactivo Fiscal y Tributario,juzgado_partido_trabajo_seguridad_social_adm_coactivo_fiscal_tributario,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.",Se conserva «Adm.»; no se fuerza una expansión en esta auditoría.
4.1.1,109,10,f010,Sentencia Penal,Juzgado de Sentencia Penal,juzgado_sentencia_penal,juzgado,detalle,f006,2,no_observable,confirmado,alta,"Cuadro 4.1.1, p. 109. Rótulo regular bajo su subtotal; orden visual y valores aportan a la suma exacta del padre en las once columnas.","Nota 1: el Juzgado de Sentencia 5º de Cochabamba también tiene competencia en Sustancias Controladas; no representa otra unidad."
