tabla,columna,valor,frecuencia,significado
causas_movimiento,ambito,capital,27,Ciudades capitales de departamento más El Alto.
causas_movimiento,ambito,nacional,26,Consolidado: capitales más provincias.
causas_movimiento,ambito,provincia,25,"Resto del país, fuera de las ciudades capitales."
causas_movimiento,eje,materia,47,La fila es una materia (competencia del juzgado).
causas_movimiento,eje,departamento,20,La fila es uno de los nueve departamentos.
causas_movimiento,eje,ciudad,11,La fila es una ciudad capital o El Alto.
causas_movimiento,tipo_fila_derivado,dato,72,Fila de dato: entra en las sumas.
causas_movimiento,tipo_fila_derivado,total,6,Fila de total del cuadro: NO sumar junto con las de dato.
causas_movimiento,instancia_derivada,juzgado,69,Juzgado unipersonal (valor por defecto).
causas_movimiento,instancia_derivada,tribunal,9,"Tribunal de sentencia, deducido del prefijo del nombre."
causas_por_gestion,ambito,capital,80,Ciudades capitales de departamento más El Alto.
causas_por_gestion,ambito,nacional,80,Consolidado: capitales más provincias.
causas_por_gestion,ambito,provincia,75,"Resto del país, fuera de las ciudades capitales."
causas_por_gestion,eje,materia,235,La fila es una materia (competencia del juzgado).
causas_por_gestion,tipo_fila_derivado,dato,220,Fila de dato: entra en las sumas.
causas_por_gestion,tipo_fila_derivado,total,15,Fila de total del cuadro: NO sumar junto con las de dato.
causas_por_gestion,instancia_derivada,juzgado,175,Juzgado unipersonal (valor por defecto).
causas_por_gestion,instancia_derivada,tribunal,45,"Tribunal de sentencia, deducido del prefijo del nombre."
causas_serie_historica,ambito,capital,17,Ciudades capitales de departamento más El Alto.
causas_serie_historica,ambito,provincia,17,"Resto del país, fuera de las ciudades capitales."
causas_serie_historica,ambito,nacional,17,Consolidado: capitales más provincias.
personal,tipo_fila_derivado,dato,72,Fila de dato: entra en las sumas.
personal,tipo_fila_derivado,subtotal,10,"Subtotal de un bloque (por ejemplo, de un distrito en 14.1.1)."
personal,tipo_fila_derivado,total,3,Fila de total del cuadro: NO sumar junto con las de dato.
personal_jurisdiccional,tipo_fila_derivado,dato,2,Fila de dato: entra en las sumas.
personal_jurisdiccional,tipo_fila_derivado,total,1,Fila de total del cuadro: NO sumar junto con las de dato.
personal_jurisdiccional,personal,JURISDICCIONAL,1,Personal que ejerce función jurisdiccional.
personal_jurisdiccional,personal,ADMINISTRATIVO,1,Personal de apoyo administrativo.
personal_jurisdiccional,personal,TOTAL,1,Fila de total.
autoridad_sumariante,eje,distrito,22,La fila es un distrito judicial.
autoridad_sumariante,eje,ente,5,La fila es un ente del Órgano Judicial.
autoridad_sumariante,tipo_fila_derivado,dato,24,Fila de dato: entra en las sumas.
autoridad_sumariante,tipo_fila_derivado,total,3,Fila de total del cuadro: NO sumar junto con las de dato.
causas_por_tipo_proceso,ambito,capital,1309,Ciudades capitales de departamento más El Alto.
causas_por_tipo_proceso,ambito,provincia,1110,"Resto del país, fuera de las ciudades capitales."
causas_por_tipo_proceso,tipo_fila_derivado,detalle,2237,Fila de dato de los capítulos 5 y 6: un tipo de proceso dentro de una ciudad o distrito. Entra en las sumas.
causas_por_tipo_proceso,tipo_fila_derivado,total,182,Fila de total del cuadro: NO sumar junto con las de dato.
causas_por_tipo_proceso,unidad_fila,tipo_proceso,2386,La fila es un tipo de proceso dentro de una ciudad o distrito. Es la forma corriente de los capítulos 5 y 6.
causas_por_tipo_proceso,unidad_fila,entidad,33,La fila es una ciudad o distrito y el cuadro no abre el tipo de proceso. Pasa en los cuadros de una sola página.
causas_por_tipo_proceso,familia,causas,2419,Movimiento de causas: el insumo directo de la clusterización.
resueltas_por_tipo_proceso,ambito,capital,14454,Ciudades capitales de departamento más El Alto.
resueltas_por_tipo_proceso,ambito,provincia,13539,"Resto del país, fuera de las ciudades capitales."
resueltas_por_tipo_proceso,tipo_fila_derivado,detalle,25967,Fila de dato de los capítulos 5 y 6: un tipo de proceso dentro de una ciudad o distrito. Entra en las sumas.
resueltas_por_tipo_proceso,tipo_fila_derivado,total,2026,Fila de total del cuadro: NO sumar junto con las de dato.
