tabla,columna,tipo,unidad,origen,descripcion,no_nulos,nulos,valores_distintos,minimo,maximo,ejemplo
causas_movimiento,cuadro_origen,str,,trazabilidad,"Identificador del cuadro del anuario del que sale la fila (por ejemplo 9.1.1). Con la página, permite verificar la cifra a mano contra el PDF.",78,0,6,,,9.1.1
causas_movimiento,pagina_pdf,Int64,página,trazabilidad,"Página del PDF, contada desde 1, donde está impresa la fila. No coincide con el número impreso al pie en todos los capítulos.",78,0,6,673,708,673
causas_movimiento,ambito,str,,derivada,"Territorio que cubre el cuadro: capital (ciudades capitales y El Alto), provincia (resto del país) o nacional (la suma de ambos). En los capítulos 5 y 6 se deriva del encabezado y de las entidades de la página, no del prefijo del cuadro.",78,0,3,,,capital
causas_movimiento,eje,str,,derivada,"Qué representa la etiqueta de la fila en ese cuadro: materia, ciudad, departamento, distrito o ente.",78,0,3,,,materia
causas_movimiento,etiqueta_fila,str,,fuente,"Rótulo de la fila tal como está impreso en el PDF, verbatim.",78,0,32,,,PÚBLICO CIVIL Y COMERCIAL
causas_movimiento,num_juzgados,Int64,juzgados (nominal),fuente,"Número NOMINAL de juzgados, no real: un juzgado mixto cuenta una vez por cada materia que atiende, así que el total nominal es mayor que la cantidad física de juzgados. No usar como conteo de juzgados existentes.",27,51,22,1,640,163
causas_movimiento,pendientes_inicio,Int64,causas,fuente,Causas que venían pendientes de la gestión anterior.,78,0,74,57,337394,29688
causas_movimiento,ingresadas,Int64,causas,fuente,Causas que ingresaron durante la gestión.,78,0,74,31,401448,66140
causas_movimiento,atendidas,Int64,causas,fuente,"Total de causas atendidas en la gestión. Es un stock, no un flujo: debe ser igual a pendientes_inicio + ingresadas y también a resueltas + pendientes_fin.",78,0,74,88,738841,95828
causas_movimiento,resueltas,Int64,causas,fuente,Causas resueltas durante la gestión.,78,0,74,28,382333,67788
causas_movimiento,pendientes_fin,Int64,causas,fuente,Causas que quedan pendientes para la próxima gestión.,78,0,74,60,356508,28040
causas_movimiento,pct_resueltas,Float64,%,fuente,"Porcentaje de resolución tal como lo publica el anuario. ATENCIÓN: es resueltas/atendidas (verificado en 72 de 72 filas), NO resueltas/ingresadas. No es la tasa de resolución de CEJA; para esa hay que calcularla.",78,0,72,9.5,70.7,70.7
causas_movimiento,pct_pendientes,Float64,%,fuente,Porcentaje de causas pendientes tal como lo publica el anuario: pendientes_fin/atendidas (coincide en 65 de 72 filas).,78,0,74,29.3,90.5,29.3
causas_movimiento,promedio_por_juzgado,Float64,causas por juzgado,fuente,Promedio de causas ingresadas por juzgado: ingresadas/num_juzgados (coincide en 24 de 25 filas). Hereda el problema del juzgado nominal.,27,51,26,48.0,1288.0,406.0
causas_movimiento,col_sin_rotulo_1,Float64,%,fuente,"Columna sin encabezado del cuadro 9.1.5. Reproduce exactamente ingresadas/total de ingresadas × 100 en las 14 filas de materia y suma 100,00, así que es la distribución de causas INGRESADAS por materia. El documento no lo dice: por eso la columna no se renombró.",15,63,15,0.03,100.0,23.24
causas_movimiento,ciudad,str,,fuente,Ciudad capital (o El Alto) a la que corresponde la fila. Solo se llena en el cuadro 9.1.3 y en las filas territoriales de ámbito capital de los capítulos 5 y 6.,10,68,10,,,Sucre
causas_movimiento,departamento,str,,derivada,"Departamento tal como lo nombra el cuadro, con la grafía unificada (el anuario escribe POTOSI y Potosí indistintamente).",18,60,9,,,Chuquisaca
causas_movimiento,departamento_derivado,str,,derivada,"Departamento deducido cuando el cuadro no lo trae: de la ciudad (El Alto pertenece a La Paz) o del distrito judicial. La comparación ignora mayúsculas, tildes y espacios, sin modificar el literal de origen. Queda nulo en totales nacionales y para OFICINA NACIONAL, que no son territorios.",10,68,9,,,Chuquisaca
causas_movimiento,materia_cruda,str,,fuente,"Nombre de la materia tal como está impreso en el PDF, verbatim, errata incluida. Solo se llena en las filas cuyo eje es materia.",44,34,15,,,PÚBLICO CIVIL Y COMERCIAL
causas_movimiento,materia_norm,str,,derivada,"materia_cruda con una única corrección: la errata de imprenta INSTRUCCÓN -> INSTRUCCIÓN. NO unifica mayúsculas, tildes ni variantes de redacción entre cuadros.",44,34,15,,,PÚBLICO CIVIL Y COMERCIAL
causas_movimiento,materia_homologada,str,,derivada,"Materia derivada para facilitar cruces entre cuadros. Homologa únicamente equivalencias confirmadas mediante la auditoría del Anuario; si no existe una equivalencia aprobada, conserva materia_norm. No sobrescribe el literal del PDF.",44,34,15,,,Público Civil y Comercial
causas_movimiento,instancia_derivada,str,,derivada,"Instancia deducida del prefijo del nombre de la materia: tribunal, sala o juzgado. NO es un dato de la fuente: ningún cuadro del anuario tiene columna de instancia.",78,0,2,,,juzgado
causas_movimiento,tipo_fila_derivado,str,,derivada,"Si la fila es un dato o un agregado: dato, total o subtotal. Permite excluir los agregados de las sumas sin adivinar sobre el texto del rótulo.",78,0,2,,,dato
causas_movimiento,errata_corregida,boolean,,derivada,"True si materia_norm difiere de materia_cruda, es decir, si se corrigió una errata de imprenta.",78,0,2,False,True,False
causas_movimiento,gestion,Int64,año,fuente,Gestión (año) a la que corresponde el dato.,78,0,1,2023,2023,2023
causas_movimiento,revisado_manual,boolean,,trazabilidad,Marca de auditoría. Sale en False en todo el dataset: es la columna para ir marcando las filas que alguien verifique contra el PDF.,78,0,1,False,False,False
causas_por_gestion,cuadro_origen,str,,trazabilidad,"Identificador del cuadro del anuario del que sale la fila (por ejemplo 9.1.1). Con la página, permite verificar la cifra a mano contra el PDF.",235,0,3,,,9.1.2
causas_por_gestion,pagina_pdf,Int64,página,trazabilidad,"Página del PDF, contada desde 1, donde está impresa la fila. No coincide con el número impreso al pie en todos los capítulos.",235,0,3,677,705,677
causas_por_gestion,ambito,str,,derivada,"Territorio que cubre el cuadro: capital (ciudades capitales y El Alto), provincia (resto del país) o nacional (la suma de ambos). En los capítulos 5 y 6 se deriva del encabezado y de las entidades de la página, no del prefijo del cuadro.",235,0,3,,,capital
causas_por_gestion,eje,str,,derivada,"Qué representa la etiqueta de la fila en ese cuadro: materia, ciudad, departamento, distrito o ente.",235,0,1,,,materia
causas_por_gestion,etiqueta_fila,str,,fuente,"Rótulo de la fila tal como está impreso en el PDF, verbatim.",235,0,17,,,Público Civil y Comercial
causas_por_gestion,gestion,Int64,año,fuente,"Gestión a la que corresponde el dato de la fila, de 2019 a 2023. Todos los cuadros son de la edición 2023.",235,0,5,2019,2023,2019
causas_por_gestion,resueltas,Int64,causas,fuente,"Causas resueltas en esa gestión, según la serie que publica la edición 2023.",231,4,221,25,382333,61635
causas_por_gestion,pct_resueltas,Float64,%,fuente,"Porcentaje de resolución tal como lo publica el anuario. ATENCIÓN: es resueltas/atendidas (verificado en 72 de 72 filas), NO resueltas/ingresadas. No es la tasa de resolución de CEJA; para esa hay que calcularla.",231,4,161,9.5,70.9,69.6
causas_por_gestion,materia_cruda,str,,fuente,"Nombre de la materia tal como está impreso en el PDF, verbatim, errata incluida. Solo se llena en las filas cuyo eje es materia.",235,0,17,,,Público Civil y Comercial
causas_por_gestion,materia_norm,str,,derivada,"materia_cruda con una única corrección: la errata de imprenta INSTRUCCÓN -> INSTRUCCIÓN. NO unifica mayúsculas, tildes ni variantes de redacción entre cuadros.",235,0,17,,,Público Civil y Comercial
causas_por_gestion,materia_homologada,str,,derivada,"Materia derivada para facilitar cruces entre cuadros. Homologa únicamente equivalencias confirmadas mediante la auditoría del Anuario; si no existe una equivalencia aprobada, conserva materia_norm. No sobrescribe el literal del PDF.",235,0,17,,,Público Civil y Comercial
causas_por_gestion,instancia_derivada,str,,derivada,"Instancia deducida del prefijo del nombre de la materia: tribunal, sala o juzgado. NO es un dato de la fuente: ningún cuadro del anuario tiene columna de instancia.",220,15,2,,,juzgado
causas_por_gestion,tipo_fila_derivado,str,,derivada,"Si la fila es un dato o un agregado: dato, total o subtotal. Permite excluir los agregados de las sumas sin adivinar sobre el texto del rótulo.",235,0,2,,,dato
causas_por_gestion,errata_corregida,boolean,,derivada,"True si materia_norm difiere de materia_cruda, es decir, si se corrigió una errata de imprenta.",235,0,1,False,False,False
causas_por_gestion,revisado_manual,boolean,,trazabilidad,Marca de auditoría. Sale en False en todo el dataset: es la columna para ir marcando las filas que alguien verifique contra el PDF.,235,0,1,False,False,False
causas_serie_historica,cuadro_origen,str,,trazabilidad,"Identificador del cuadro del anuario del que sale la fila (por ejemplo 9.1.1). Con la página, permite verificar la cifra a mano contra el PDF.",51,0,3,,,9.1.4
causas_serie_historica,pagina_pdf,Int64,página,trazabilidad,"Página del PDF, contada desde 1, donde está impresa la fila. No coincide con el número impreso al pie en todos los capítulos.",51,0,3,684,712,684
causas_serie_historica,ambito,str,,derivada,"Territorio que cubre el cuadro: capital (ciudades capitales y El Alto), provincia (resto del país) o nacional (la suma de ambos). En los capítulos 5 y 6 se deriva del encabezado y de las entidades de la página, no del prefijo del cuadro.",51,0,3,,,capital
causas_serie_historica,gestion,Int64,año,fuente,"Gestión de la serie histórica, de 2007 a 2023.",51,0,17,2007,2023,2007
causas_serie_historica,pendientes_inicio,Int64,causas,fuente,Causas que venían pendientes de la gestión anterior.,51,0,51,22531,474438,117453
causas_serie_historica,ingresadas,Int64,causas,fuente,Causas que ingresaron durante la gestión.,51,0,51,71143,499230,234344
causas_serie_historica,atendidas,Int64,causas,fuente,"Total de causas atendidas en la gestión. Es un stock, no un flujo: debe ser igual a pendientes_inicio + ingresadas y también a resueltas + pendientes_fin.",51,0,51,93674,883250,351797
causas_serie_historica,resueltas,Int64,causas,fuente,Causas resueltas durante la gestión.,51,0,51,55846,473427,168884
causas_serie_historica,pendientes_fin,Int64,causas,fuente,Causas que quedan pendientes para la próxima gestión.,51,0,51,37828,451090,182913
causas_serie_historica,pct_resueltas,Float64,%,fuente,"Porcentaje de resolución tal como lo publica el anuario. ATENCIÓN: es resueltas/atendidas (verificado en 72 de 72 filas), NO resueltas/ingresadas. No es la tasa de resolución de CEJA; para esa hay que calcularla.",51,0,40,41.7,59.6,48.0
causas_serie_historica,num_juzgados,Int64,juzgados (nominal),fuente,"Número NOMINAL de juzgados, no real: un juzgado mixto cuenta una vez por cada materia que atiende, así que el total nominal es mayor que la cantidad física de juzgados. No usar como conteo de juzgados existentes.",17,34,9,426,640,426
causas_serie_historica,promedio_por_juzgado,Float64,causas por juzgado,fuente,Promedio de causas ingresadas por juzgado: ingresadas/num_juzgados (coincide en 24 de 25 filas). Hereda el problema del juzgado nominal.,17,34,17,319.0,855.0,550.0
causas_serie_historica,col_sin_rotulo_1,Float64,%,fuente,"Primera columna sin encabezado. En 9.1.4 coincide con la variación interanual de ingresadas (16 de 16 años); en 9.1.8 y 9.1.12, con la de pendientes_inicio (16 de 16).",48,3,45,-26.1,37.7,8.1
causas_serie_historica,col_sin_rotulo_2,Float64,%,fuente,Segunda columna sin encabezado. Coincide con la variación interanual de ingresadas en 9.1.8 (15 de 16) y en 9.1.12 (16 de 16). En 9.1.4 no coincide con ningún candidato probado.,48,3,43,-29.3,32.9,15.0
causas_serie_historica,pct_pendientes,Float64,%,fuente,Porcentaje de causas pendientes tal como lo publica el anuario: pendientes_fin/atendidas (coincide en 65 de 72 filas).,34,17,30,40.4,57.0,40.4
causas_serie_historica,col_sin_rotulo_3,Float64,%,fuente,Tercera columna sin encabezado. Coincide con la variación interanual de resueltas en 9.1.8 (15 de 16) y de atendidas en 9.1.12 (16 de 16). En 9.1.4 no coincide con ningún candidato probado.,31,20,30,-24.7,32.2,14.0
causas_serie_historica,revisado_manual,boolean,,trazabilidad,Marca de auditoría. Sale en False en todo el dataset: es la columna para ir marcando las filas que alguien verifique contra el PDF.,51,0,1,False,False,False
juzgados,fila_en_cuadro,Int64,,trazabilidad,"Número de orden de la fila dentro de su cuadro. Hace falta porque hay rótulos repetidos: el cuadro 4.1.1 tiene dos filas llamadas Penal, una bajo JUZGADOS DE INSTRUCCIÓN y otra bajo SALAS.",1148,0,37,1,37,1
juzgados,cuadro_origen,str,,trazabilidad,"Identificador del cuadro del anuario del que sale la fila (por ejemplo 9.1.1). Con la página, permite verificar la cifra a mano contra el PDF.",1148,0,10,,,4.1.1
juzgados,pagina_pdf,Int64,página,trazabilidad,"Página del PDF, contada desde 1, donde está impresa la fila. No coincide con el número impreso al pie en todos los capítulos.",1148,0,10,109,118,109
juzgados,departamento,str,,derivada,"Departamento al que corresponde el cuadro. En 4.1.1 vale CIUDADES CAPITALES Y EL ALTO, que no es un departamento.",1148,0,10,,,CIUDADES CAPITALES Y EL ALTO
juzgados,provincia_o_grupo,str,,fuente,"Primer rótulo de la fila: la provincia en los cuadros provinciales (4.1.2 a 4.1.10), el grupo o tipo de juzgado en el de capitales (4.1.1). Va verbatim, llamadas a nota al pie incluidas.",1148,0,135,,,JUZGADOS DE INSTRUCCIÓN
juzgados,localidad_o_subtipo,str,,fuente,"Segundo rótulo: la localidad o asiento judicial en los cuadros provinciales. Nulo en 4.1.1, que tiene una sola columna de rótulo.",714,434,151,,,Yotala
juzgados,rotulo_1_derivado_del_bloque,boolean,,derivada,True si la provincia no estaba en la fila sino en la celda combinada del bloque y se asignó por cercanía vertical.,1148,0,1,False,False,False
juzgados,n_columnas,Int64,columnas,derivada,Cuántas columnas numéricas tiene el cuadro del que sale la fila. Varía entre 5 y 19 según el departamento.,1148,0,9,5,19,11
juzgados,columna,str,,derivada,"Columna del cuadro, numerada de izquierda a derecha (col_01, col_02...). Se preserva aunque su significado auditado esté en las columnas canónicas derivadas.",1148,0,19,,,col_01
juzgados,valor,Int64,juzgados (o habitantes en col_01),fuente,"Valor de esa celda. En los cuadros provinciales la col_01 es población proyectada al 2022, no un conteo de juzgados; la última columna de cada fila es el total.",1148,0,226,0,1220896,8
juzgados,fragmentos_encabezado,str,,fuente,"Los pedazos de encabezado del PDF que caen sobre esa columna, sin recomponer. Es la materia prima para resolver el mapeo de nombres a mano.",1148,0,111,,,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia."
juzgados,es_ultima_columna,boolean,,derivada,"True si la columna es la última del cuadro, que en la Parte IV es siempre el total de la fila.",1148,0,2,False,True,False
juzgados,columna_rotulo_canonico,str,,derivada,"Rótulo legible auditado para la combinación cuadro_origen + columna. Nulo en el único encabezado indeterminado, 4.1.7/col_09.",1145,3,35,,,Sucre
juzgados,columna_codigo_canonico,str,,derivada,Código estable auditado del significado de la columna dentro de su cuadro. Nulo si la decisión quedó indeterminada.,1145,3,35,,,ciudad_sucre
juzgados,tipo_columna,str,,derivada,Clasificación auditada del significado de col_NN dentro del cuadro 4.1.x. Depende de cuadro_origen + columna.,1148,0,6,,,otro
juzgados,fila_id,str,,derivada,Identificador estructural auditado de las 37 filas del cuadro 4.1.1 (f001 a f037). Nulo en los demás cuadros.,285,863,37,,,f001
juzgados,fila_rotulo_canonico,str,,derivada,Rótulo canónico auditado de la categoría representada por la fila de 4.1.1. No sustituye provincia_o_grupo.,285,863,37,,,Juzgados de Instrucción
juzgados,fila_codigo_canonico,str,,derivada,Código estable auditado de la categoría de fila del cuadro 4.1.1. Nulo en los cuadros provinciales.,285,863,37,,,juzgados_instruccion
juzgados,tipo_entidad,str,,derivada,"Naturaleza auditada de la categoría de 4.1.1: juzgado, tribunal, sala, conciliador u otro.",285,863,5,,,juzgado
juzgados,estructura_fila,str,,derivada,"Papel jerárquico auditado de la fila de 4.1.1: detalle, subtotal o total_general.",285,863,3,,,subtotal
juzgados,fila_padre_id,str,,derivada,fila_id del padre jerárquico de la fila de 4.1.1. Nulo para el total general y para los demás cuadros.,274,874,6,,,f037
juzgados,nivel_jerarquia,Int64,nivel,derivada,"Nivel auditado de la fila de 4.1.1: 0 total general, 1 categorías principales y 2 detalles internos.",285,863,3,0,2,1
juzgados,es_hoja_jerarquia,boolean,,derivada,True cuando la fila de 4.1.1 es detalle; False para sus subtotales y total general. Nulo fuera de 4.1.1. No decide qué entra en un futuro indicador.,285,863,2,False,True,False
juzgados,departamento_derivado,str,,derivada,"Departamento deducido cuando el cuadro no lo trae: de la ciudad (El Alto pertenece a La Paz) o del distrito judicial. La comparación ignora mayúsculas, tildes y espacios, sin modificar el literal de origen. Queda nulo en totales nacionales y para OFICINA NACIONAL, que no son territorios.",863,285,9,,,Chuquisaca
juzgados,gestion,Int64,año,fuente,"Gestión del cuadro. La población de col_01, en cambio, está proyectada al 2022.",1148,0,1,2023,2023,2023
juzgados,revisado_manual,boolean,,trazabilidad,Marca de auditoría. Sale en False en todo el dataset: es la columna para ir marcando las filas que alguien verifique contra el PDF.,1148,0,1,False,False,False
personal,cuadro_origen,str,,trazabilidad,"Identificador del cuadro del anuario del que sale la fila (por ejemplo 9.1.1). Con la página, permite verificar la cifra a mano contra el PDF.",85,0,3,,,14.1.1
personal,pagina_pdf,Int64,página,trazabilidad,"Página del PDF, contada desde 1, donde está impresa la fila. No coincide con el número impreso al pie en todos los capítulos.",85,0,4,743,746,743
personal,distrito,str,,fuente,"Distrito judicial. Coincide con el departamento salvo OFICINA NACIONAL / NACIONAL, que es la administración central. En los capítulos 5 y 6 se llena solo para el ámbito provincia.",75,10,13,,,NACIONAL
personal,ente,str,,fuente,"Ente del Órgano Judicial dentro del distrito: Tribunal Departamental de Justicia, Consejo de la Magistratura, Derechos Reales, Juzgados Disciplinarios, DAF Enlace, etc.",73,12,15,,,Tribunal Supremo de Justicia
