cuadro_origen,pagina_pdf,titulo_pdf,etapa_proceso_fuente,decision,confianza,evidencia_pdf,observaciones
5.3.1.1,348,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto — Informes de Inicio de Investigación",informes_inicio_investigacion,confirmado,alta,"PDF oficial, p. 348: ""Informes de Inicio de Investigación""; Por: ""Ciudades y Tipo de Acción Penal"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
5.3.1.1,349,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto — Informes de Inicio de Investigación",informes_inicio_investigacion,confirmado,alta,"PDF oficial, p. 349: ""Informes de Inicio de Investigación""; Por: ""Ciudades y Tipo de Acción Penal"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
5.3.1.1,350,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto — Informes de Inicio de Investigación",informes_inicio_investigacion,confirmado,alta,"PDF oficial, p. 350: ""Informes de Inicio de Investigación""; Por: ""Ciudades y Tipo de Acción Penal"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
5.3.1.2,351,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto — Imputaciones Formales",imputaciones_formales,confirmado,alta,"PDF oficial, p. 351: ""Imputaciones Formales""; Por: ""Ciudades y Tipo de Acción Penal"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
5.3.1.2,352,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto — Imputaciones Formales",imputaciones_formales,confirmado,alta,"PDF oficial, p. 352: ""Imputaciones Formales""; Por: ""Ciudades y Tipo de Acción Penal"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
5.3.1.2,353,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Ciudades Capitales y El Alto — Imputaciones Formales",imputaciones_formales,confirmado,alta,"PDF oficial, p. 353: ""Imputaciones Formales""; Por: ""Ciudades y Tipo de Acción Penal"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
5.3.2.1,362,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto — CAUSAS",causas,confirmado,alta,"PDF oficial, p. 362: ""CAUSAS""; Por: ""Ciudades y Tipo de Acción Penal (TIPO DE PROCESO)"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
5.3.2.1,363,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto — CAUSAS",causas,confirmado,alta,"PDF oficial, p. 363: ""CAUSAS""; Por: ""Ciudades y Tipo de Acción Penal (TIPO DE PROCESO)"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
5.3.2.1,364,"Juzgados de Sentencia Penal, Anticorrupción y de Violencia Contra la Mujer de Ciudades Capitales y El Alto — CAUSAS",causas,confirmado,alta,"PDF oficial, p. 364: ""CAUSAS""; Por: ""Ciudades y Tipo de Acción Penal (TIPO DE PROCESO)"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
6.3.1.1,607,"Juzgados de Instrucción Penal, Anticorrupción y Contra la Violencia hacia las Mujeres de Provincias — Informes de Inicio de Investigación",informes_inicio_investigacion,confirmado,alta,"PDF oficial, p. 607: ""Informes de Inicio de Investigación""; Por: ""Distritos"".",Mapa cerrado por cuadro; no inferir desde el literal de tipo_proceso.
