cuadro_origen,pagina_pdf,ambito,estructura_observada,contexto_accion_penal,regla_propuesta,decision,confianza,evidencia_pdf,observaciones
5.3.1.1,348,capital,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 348: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.1,348,capital,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 348: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.1,348,capital,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 348: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.1,349,capital,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 349: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.1,349,capital,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 349: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.1,349,capital,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 349: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.1,350,capital,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 350: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.1,350,capital,Una fila de dato por tipo de acción penal y entidad.,anticorrupcion,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 350: bloque/rótulo fuente ""ANTICORRUPCIÓN"" (contexto canónico: Anticorrupción).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.1,350,capital,Una fila de dato por tipo de acción penal y entidad.,violencia_mujeres,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 350: bloque/rótulo fuente ""CONTRA LA VIOLENCIA HACIA LAS MUJERES"" (contexto canónico: Contra la violencia hacia las mujeres).",El contexto coincide con la categoría publicada en la propia fila.
5.3.1.2,351,capital,Una fila de dato por tipo de acción penal y entidad.,penal_comun,Asignar por el rótulo explícito de la fila dentro de este cuadro cerrado.,confirmado,alta,"PDF oficial, p. 351: bloque/rótulo fuente ""PENAL COMUN"" (contexto canónico: Penal común).",El contexto coincide con la categoría publicada en la propia fila.
